payment_id,order_id,payment_date,payment_method,payment_status,amount,transaction_id
1,1001,2025-12-01 10:31:00,upi,completed,2347.00,TXN20251201001
2,1002,2025-12-01 11:16:00,credit_card,completed,5098.00,TXN20251201002
3,1003,2025-12-02 09:01:00,net_banking,completed,15999.00,TXN20251202001
4,1004,2025-12-02 14:23:00,upi,refunded,498.00,TXN20251202002
5,1005,2025-12-03 08:46:00,debit_card,completed,5898.00,TXN20251203001
6,1006,2025-12-04 16:01:00,wallet,pending,1148.00,TXN20251204001
7,1007,2025-12-05 12:31:00,credit_card,completed,1698.00,TXN20251205001
8,1008,2025-12-06 19:16:00,upi,completed,4749.00,TXN20251206001
9,1009,2025-12-07 10:01:00,cod,pending,378.00,TXN20251207001
10,1010,2025-12-08 11:46:00,debit_card,completed,2248.00,TXN20251208001
11,1011,2025-12-09 14:31:00,credit_card,completed,3299.00,TXN20251209001
12,1012,2025-12-10 09:16:00,upi,completed,1248.00,TXN20251210001
13,1013,2025-12-11 16:46:00,net_banking,completed,8499.00,TXN20251211001
14,1014,2025-12-12 11:01:00,wallet,pending,748.00,TXN20251212001
15,1015,2025-12-13 18:31:00,debit_card,completed,4299.00,TXN20251213001
